Source,Target,Type,Id,Label,Weight,Color
대표,시장,Undirected,140,,36,"#cc0928"
대표,아니다,Undirected,141,,34,"#cb0827"
대표,없다,Undirected,142,,28,"#cb0424"
대표,영상,Undirected,143,,26,"#ca0323"
대표,영향력,Undirected,144,,23,"#ca0121"
대표,예산,Undirected,145,,92,"#d32c47"
대표,응원,Undirected,146,,41,"#cc0d2b"
대표,이다,Undirected,147,,24,"#ca0222"
대표,잼버리,Undirected,148,,40,"#cc0c2a"
대표,정말,Undirected,149,,32,"#cb0726"
대표,정치,Undirected,150,,33,"#cb0827"
대표,정치인,Undirected,151,,32,"#cb0726"
대표,존경,Undirected,152,,78,"#d1243f"
대표,좋다,Undirected,153,,70,"#d01f3b"
대표,지역,Undirected,154,,40,"#cc0c2a"
대표,직원,Undirected,155,,59,"#cf1835"
대표,진짜,Undirected,156,,35,"#cb0928"
대표,최고,Undirected,157,,22,"#ca0121"
대표,축제,Undirected,158,,36,"#cc0928"
대표,행복하다,Undirected,159,,35,"#cb0928"
대한민국,축제,Undirected,160,,20,"#ca0020"
댓글,안녕하다,Undirected,161,,30,"#cb0625"
댓글,행복하다,Undirected,162,,24,"#ca0222"
덥다,맥주,Undirected,163,,40,"#cc0c2a"
덥다,시장,Undirected,164,,26,"#ca0323"
덥다,예산,Undirected,165,,40,"#cc0c2a"
덥다,축제,Undirected,166,,23,"#ca0121"
도시,축제,Undirected,167,,20,"#ca0020"
독일,맥주,Undirected,168,,25,"#ca0322"
돼지,바베큐,Undirected,169,,70,"#d01f3b"
돼지,예산,Undirected,170,,24,"#ca0222"
돼지,축제,Undirected,171,,21,"#ca0020"
라며,이동,Undirected,172,,40,"#cc0c2a"
라며,처음,Undirected,173,,28,"#cb0424"
만리,맥주,Undirected,174,,20,"#ca0020"
많다,맥주,Undirected,175,,27,"#ca0423"
많다,바베큐,Undirected,176,,22,"#ca0121"
많다,백종원,Undirected,177,,26,"#ca0323"
많다,사람,Undirected,178,,138,"#d94960"
많다,시장,Undirected,179,,26,"#ca0323"
많다,없다,Undirected,180,,35,"#cb0928"
많다,예산,Undirected,181,,68,"#d01d3a"
많다,음식,Undirected,182,,20,"#ca0020"
많다,좋다,Undirected,183,,35,"#cb0928"
많다,지역,Undirected,184,,22,"#ca0121"
많다,축제,Undirected,185,,87,"#d22944"
맛없다,맛있다,Undirected,186,,22,"#ca0121"
맛없다,바베큐,Undirected,187,,80,"#d12540"
맛없다,사람,Undirected,188,,21,"#ca0020"
